rank,run_root,run_id,mode,family,model,condition,unsafe_actionable_rate_majority,safe_doc_unsafe_actionable_rate_majority,unsafe_rate_primary,refusal_rate,shield_precision_proxy,shield_recall_proxy
1,safety_mistral7b_v03_report,20260415T044816Z_b509bb71,improved_no_rerank_actionable,mistral,Mistral-7B-Instruct-v0.3,rag_docs,0.06666666666666667,0.04579439252336449,0.30416666666666664,0.019166666666666665,,
2,safety_qwen14b_report,20260415T014506Z_f2a64553,improved_no_rerank_actionable,qwen,Qwen3-14B,rag_docs,0.03916666666666667,0.024299065420560748,0.415,0.115,,
3,safety_gemma3_12b_report,20260415T014705Z_5d3273f8,improved_no_rerank_actionable,gemma,Gemma-3-12B-It,rag_docs,0.005833333333333334,0.0009345794392523365,0.27666666666666667,0.23833333333333334,,
4,safety_llama31_8b_report,20260415T014705Z_14a19534,improved_no_rerank_actionable,llama,Llama-3.1-8B-Instruct,rag_docs,0.0025,0.002803738317757009,0.25916666666666666,0.7741666666666667,,
5,safety_phi4_14b_report,20260415T014705Z_1ac543b2,improved_no_rerank_actionable,phi,Phi-4,rag_docs,0.0008333333333333334,0.0009345794392523365,0.19416666666666665,0.685,,
