model,non_rag_f1,rag_docs_f1,rag_mixed_docs_f1,non_rag_em,rag_docs_em,rag_mixed_docs_em,rag_docs_contains_answer,rag_mixed_docs_contains_answer
Qwen3-4B-Instruct,0.062,0.468,0.167,0.006,0.207,0.079,0.866,0.300
Llama-3.2-3B-Instruct,0.068,0.591,0.196,0.012,0.389,0.122,0.869,0.270
Phi-3-Mini-4K-Instruct,0.074,0.593,0.189,0.014,0.391,0.106,0.871,0.251
Gemma-7B-It,0.021,0.202,0.047,0.000,0.000,0.000,0.773,0.130
Mistral-7B-Instruct-v0.3,0.055,0.582,0.185,0.001,0.373,0.096,0.892,0.289
Gemma-3-12B-It,0.116,0.797,0.277,0.047,0.621,0.200,0.901,0.302
Phi-4,0.084,0.456,0.143,0.007,0.162,0.019,0.919,0.333
Llama-3.1-8B-Instruct,0.101,0.768,0.175,0.032,0.613,0.129,0.878,0.204
